24 мар. 2026 23:26:55,519 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,521 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,523 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,525 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,527 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,528 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,530 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,532 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,538 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,543 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,546 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,591 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,668 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,672 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,695 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,697 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:55,698 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,463 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,467 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,471 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,473 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,474 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,479 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,480 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,495 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:26:57,509 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:02,160 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:02,161 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:02,168 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:02,174 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:02,174 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 5256, Current connections count : 3
24 мар. 2026 23:27:03,654 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:03,658 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:04,891 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:04,896 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:04,904 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:04,940 system - system - system  INFO SQLConnectionLogger - Global restart connections : count - 10, remove first : 0
24 мар. 2026 23:27:04,963 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9220, Current connections count : 3
24 мар. 2026 23:27:05,037 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 21968, Time : 144, Current connections count : 4
24 мар. 2026 23:27:05,079 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 20040, Time : 134, Current connections count : 5
24 мар. 2026 23:27:05,102 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 20040, Current connections count : 5
24 мар. 2026 23:27:05,103 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 20040, Current connections count : 5
24 мар. 2026 23:27:05,107 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 21968, Current connections count : 5
24 мар. 2026 23:27:05,124 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 20040, Current connections count : 5
24 мар. 2026 23:27:06,306 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 5
24 мар. 2026 23:27:13,272 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,317 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,321 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,322 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,725 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,940 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9776, Current connections count : 5
24 мар. 2026 23:27:13,941 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 5
24 мар. 2026 23:27:13,942 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 20040, Current connections count : 5
24 мар. 2026 23:27:13,942 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 21968, Current connections count : 5
24 мар. 2026 23:27:13,942 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 9220, Current connections count : 5
24 мар. 2026 23:27:14,407 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 22888, Time : 459, Current connections count : 6
24 мар. 2026 23:27:14,525 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 20212, Time : 581, Current connections count : 7
24 мар. 2026 23:27:20,721 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 9776, Current connections count : 7
24 мар. 2026 23:27:22,317 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 20212, Current connections count : 7
24 мар. 2026 23:27:22,542 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 20040, Current connections count : 7
24 мар. 2026 23:27:22,560 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:22,823 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:22,853 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:23,104 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 9220, Current connections count : 7
